Rank,Country/Region,Reading_Scores
1,Singapore,543
2,Ireland,516
3,Japan,516
4,Taiwan,515
5,Korea,515
6,Estonia,511
7,Macao (China),510
8,Canada,507
9,United States,504
10,New Zealand,501
11,Hong Kong (China),500
12,Australia,498
13,Belgium,494
14,Finland,490
15,Austria,489
16,Denmark,489
17,Poland,489
18,Sweden,487
19,Switzerland,483
20,Italy,482
21,Czech Republic,480
22,Germany,480
23,United Kingdom,479
24,Norway,477
25,Portugal,477
26,Croatia,475
27,Latvia,475
28,France,474
29,Hungary,474
30,Israel,474
31,Spain,473
32,Lithuania,472
33,Slovenia,469
34,Viet Nam,462
35,Netherlands,459
36,Turkiye,456
37,Chile,448
38,Slovak Republic,447
39,Malta,445
40,Serbia,440
41,Greece,438
42,Iceland,436
43,Malaysia,430
44,Brunei Darussalam,429
45,Romania,428
46,Ukraine,428
47,Moldova,419
48,United Arab Emirates,417
49,Costa Rica,415
50,Mexico,415
51,Qatar,411
52,Brazil,410
53,Jamaica,410
54,Colombia,409
55,Peru,408
56,Montenegro,405
57,Bulgaria,404
58,Argentina,401
59,Panama,392
60,Uruguay,388
61,Kazakhstan,386
62,Saudi Arabia,383
63,Cyprus,381
64,Thailand,379
65,Mongolia,378
66,Georgia,374
67,Guatemala,374
68,Paraguay,373
69,Azerbaijan,365
70,El Salvador,365
71,Indonesia,359
72,North Macedonia,359
73,Albania,358
74,Dominican Republic,351
75,Palestinian Authority,349
76,Philippines,347
77,Jordan,342
78,Kosovo,342
79,Morocco,339
80,Uzbekistan,336
81,Cambodia,329
