Rank,Country/Region,Average_Score
1,Singapore,559.7
2,Macao (China),535
3,Taiwan,533
4,Japan,533
5,Korea,523.3
6,Hong Kong (China),520
7,Estonia,515.7
8,Canada,506.3
9,Ireland,504
10,Switzerland,498
11,Australia,497.3
12,Poland,495.3
13,Finland,495
14,New Zealand,494.7
15,Belgium,494.3
16,Austria,491.3
17,Denmark,490.7
18,United States,489.3
19,Sweden,487.7
20,United Kingdom,486.3
21,Czech Republic,486
22,Slovenia,484.7
23,Latvia,484
24,Germany,482.3
25,Netherlands,480
26,France,478.3
27,Portugal,477.7
28,Hungary,477.3
29,Spain,477.3
30,Lithuania,477
31,Italy,476.7
32,Norway,474.3
33,Croatia,473.7
34,Viet Nam,467.7
35,Israel,465.7
36,Turkiye,461.7
37,Malta,459
38,Slovak Republic,457.7
39,Iceland,447.3
40,Serbia,442.3
41,Ukraine,439.7
42,Brunei Darussalam,439
43,Greece,436.3
44,Chile,434.7
45,Romania,428
46,United Arab Emirates,426.7
47,Malaysia,424.7
48,Moldova,421.7
49,Bulgaria,414
50,Qatar,414
51,Kazakhstan,411.3
52,Mexico,406.7
53,Mongolia,405
54,Montenegro,404.7
55,Uruguay,404.3
56,Costa Rica,403.7
57,Cyprus,403.3
58,Peru,402.3
59,Colombia,401.7
60,Brazil,397.3
61,Jamaica,396.7
62,Argentina,395
63,Thailand,394
64,Saudi Arabia,387.3
65,Georgia,382.7
66,Azerbaijan,380.7
67,Panama,379
68,North Macedonia,376
69,Indonesia,369.3
70,Albania,367.3
71,Guatemala,363.7
72,Palestinian Authority,361.3
73,El Salvador,360.3
74,Paraguay,359.7
75,Jordan,359.3
76,Morocco,356.3
77,Philippines,352.7
78,Uzbekistan,351.7
79,Kosovo,351.3
80,Dominican Republic,350
81,Cambodia,337.3
